id,updated_at,shape,begin_at,end_at,disable,city,lng,points,area_id,radius,country,name,warning,type,lat,level
1886,1447945800,0,0,0,0,Gothenburg,12.283733,"",2426,1970,752,"Gothenburg-Landvetter Airport",0,0,57.663658,2
1887,1447945800,0,0,0,0,Garoua,13.375556,"",2427,2079,120,"Garoua International Airport",0,0,9.336111,2
1888,1447945800,0,0,0,0,Nhulunbuy,136.82068,"",2428,1747,36,"Gove Airport",0,0,-12.271147,2
1889,1447945800,0,0,0,0,"Gorna Oryahovitsa",25.713093,"",2429,1396,100,"Gorna Oryahovitsa Airport",0,0,43.151413,2
1890,1447945800,0,0,0,0,Patras,21.425733,"",2430,1903,300,"Araxos Airport",0,0,38.151082,2
1891,1447945800,0,0,0,0,Pococi,-83.797121,"",2434,584,188,"Guapiles Airport",0,0,10.217415,2
1892,1447945800,0,0,0,0,"General Pico",-63.758184,"",2436,1391,32,"General Pico Airport",0,0,-35.694424,2
1893,1447945800,0,0,0,0,Gulfport,-89.071499,"",2438,1921,840,"Gulfport Biloxi International Airport",0,0,30.40731,2
1894,1447945800,0,0,0,0,"Grand Rapids",-93.510116,"",2439,1476,840,"Grand Rapids Itasca Co-Gordon Newstrom field Airport",0,0,47.208,2
1895,1447945800,0,0,0,0,Galion,-82.723892,"",2440,559,840,"Galion Municipal Airport",0,0,40.753334,2
1896,1447945800,0,0,0,0,"Green Bay",-88.131285,"",2442,2215,840,"Austin Straubel International Airport",0,0,44.485973,2
1897,1447945800,0,0,0,0,Greenwood,-82.156332,"",2444,1253,840,"Greenwood County Airport",0,0,34.250598,2
1898,1447945800,0,0,0,0,Gardez,69.237961,"",2447,1205,4,"Gardez Airport",0,0,33.628476,2
1899,1447945800,0,0,0,0,"Grand Island",-98.310489,"",2449,1802,840,"Central Nebraska Regional Airport",0,0,40.968269,2
1900,1447945800,0,0,0,0,"Fort Hood/Killeen",-97.830022,"",2451,1818,840,"Robert Gray  Army Air Field Airport",0,0,31.067354,2
1901,1447945800,0,0,0,0,"Grand Marais",-90.383057,"",2453,888,840,"Grand Marais Cook County Airport",0,0,47.838333,2
1902,1447945800,0,0,0,0,Gordon,-102.174149,"",2454,1179,840,"Gordon Airport",0,0,42.806305,2
1903,1447945800,0,0,0,0,"Vilobí d'Onyar",2.762948,"",2455,1241,724,"Girona Airport",0,0,41.905407,2
1904,1447945800,0,0,0,0,Gurupi,-49.133998,"",2456,1231,76,"Gurupi Airport",0,0,-11.739306,2
1905,1447945800,0,0,0,0,Groningen,6.578988,"",2457,1309,528,"Eelde Airport",0,0,53.121799,2
1906,1447945800,0,0,0,0,"Grand Rapids",-85.5245,"",2458,2417,840,"Gerald R. Ford International Airport",0,0,42.87938,2
1907,1447945800,0,0,0,0,Grosetto,11.072007,"",2459,1615,380,"Grosseto Airport",0,0,42.758333,2
1908,1447945800,0,0,0,0,Gujrat,74.066973,"",2460,1492,586,"Gujrat Airport",0,0,32.624285,2
1909,1447945800,0,0,0,0,Grozny,45.699928,"",2462,1773,643,"Grozny North Airport",0,0,43.388107,2
1910,1447945800,0,0,0,0,"Santa Cruz da Graciosa",-28.029648,"",2463,726,620,"Graciosa Airport",0,0,39.09236,2
1911,1447945800,0,0,0,0,Chauchina,-3.777056,"",2464,1523,724,"Federico García Lorca Granada-Jaén Airport",0,0,37.187176,2
1912,1447945800,0,0,0,0,"Grímsey",-18.017187,"",2465,678,352,"Grímsey Airport",0,0,66.546631,2
1913,1447945800,0,0,0,0,Graz,15.440131,"",2466,1937,40,"Graz Airport",0,0,46.990591,2
1914,1447945800,0,0,0,0,"Gascoyne Junction",115.202616,"",2468,675,36,"Gascoyne Junction Airport",0,0,-25.054529,2
1915,1447945800,0,0,0,0,Gothenburg,11.872527,"",2469,1162,752,"Gothenburg City Airport",0,0,57.775849,2
1916,1447945800,0,0,0,0,Goshen,-85.794517,"",2470,1244,840,"Goshen Airport",0,0,41.523128,2
1917,1447945800,0,0,0,0,Gheshm,55.903555,"",2474,2617,364,"Gheshm Airport",0,0,26.75604,2
1918,1447945800,0,0,0,0,"Mount Gunson",137.172698,"",2475,580,36,"Mount Gunson Airport",0,0,-31.460179,2
1919,1447945800,0,0,0,0,Greensboro,-79.935181,"",2476,2523,840,"Piedmont Triad International Airport",0,0,36.104366,2
